cust_id,cust_first_name,cust_last_name,cust_username,cust_password,cust_record_create_date,mag_id,mag_name,mag_cost,mag_record_status,mag_record_create_date,prof_cust_cont_id,prof_phone,prof_zip,prof_state,prof_city,prof_street_address,prof_contact_type,prof_record_update_stamp,prof_record_status,prof_start_date,prof_end_date,sub_id,sub_num_mags_mailed,sub_payment_completed,sub_start_date,sub_end_date,pay_id,pay_amount,pay_type,pay_date,pay_card_num,pay_card_code,pay_record_create_date,category,
114,Jerry,Cote,4M2x-Jerry,Ci9cU,2002-08-21,114,careful-atmosphere,26.14,0,2020-07-16,114,549-869-1782,32456,FL,Mexico Beach,106 Parker Parkway,0,2016-10-13,0,2007-12-02,2011-11-12,114,1,0,2013-08-10,2021-06-08,114,16.34,0,2012-05-18,4485287401124622,7743,2010-09-12,screenwriting,
115,Chris,Wylie,1pzFm-Chris,wQ6EJl,2007-03-27,115,olive-string,13.85,0,2017-03-21,115,608-541-8879,72701,AR,Fayetteville,140 South Hill Avenue,0,2009-12-12,0,2005-09-17,2007-05-15,115,3,0,2004-05-02,2019-07-23,115,48.19,0,2002-04-03,4929604418222310,2052,2008-09-27,data_structures,
116,Berta,Viera,35GiAj-Berta,42sMWP,2005-04-13,116,canary-keyword,22.12,0,2004-10-01,116,805-512-8586,40210,KY,Louisville,1822 Dixdale Avenue,0,2003-01-22,0,2008-06-11,2020-07-20,116,0,0,2020-03-23,2003-06-15,116,15.81,0,2014-06-11,4039676663779092,4861,2009-11-15,coding,
117,Yu,Lamb,6xS1q-Yu,5MM4r,2014-07-31,117,rapid-span,15.15,0,2000-12-02,117,291-870-8001,36117,AL,Montgomery,100 Lake Forest Drive,0,2005-08-08,0,2018-12-10,2019-10-24,117,11,0,2018-10-20,2001-11-06,117,97.84,0,2011-06-01,4532387949377584,1603,2000-07-07,linear_algebra,
118,Leon,Lowe,C96fA9-Leon,m61G9c,2021-11-08,118,legacy-acquisition,23.88,0,2011-11-03,118,099-482-4893,81521,CO,Fruita,242 North Ash Street,0,2015-08-17,0,2016-03-04,2011-08-20,118,19,0,2007-12-03,2006-02-16,118,75.1,0,2007-10-08,4532653045066003,4257,2009-12-22,startups,
119,Jon,Pellett,dXzy98-Jon,R+L2e1,2006-02-17,119,agile-turret,19.33,0,2021-12-30,119,983-002-8055,05446,VT,Colchester,294 East Lakeshore Drive,0,2017-05-08,0,2012-06-17,2012-08-29,119,6,0,2010-03-01,2016-12-07,119,46.48,0,2011-01-05,4716185200247969,1685,2009-07-15,fortifications,
120,Pauline,Christy,I6wA-Pauline,MFx3z,2012-05-01,120,vibrato-altitude,27.22,0,2009-05-22,120,684-750-7939,06040,CT,Manchester,35 Lakewood Circle South,0,2021-07-25,0,2019-07-14,2016-05-22,120,5,0,2004-04-07,2018-05-10,120,95.63,0,2012-10-18,4118511125058765,1244,2000-10-08,geometry,
121,Allen,Martin,Hji1-Allen,4?9gYq,2007-10-12,121,forward-hangar,12.73,0,2019-09-01,121,260-077-5630,06042,CT,Manchester,30 Tanner Street,0,2007-07-07,0,2020-06-26,2012-04-18,121,13,0,2006-01-13,2021-08-01,121,16.23,0,2007-05-25,4024007126207504,8607,2006-07-29,buildings,
122,Donald,Chambers,Q7Ych-Donald,g13Jq,2017-10-30,122,isometric-tom,22.28,0,2004-02-03,122,771-084-4085,73114,OK,Oklahoma City,604 Northwest 118th Street,0,2008-03-27,0,2010-05-29,2012-01-11,122,7,0,2001-05-26,2001-08-05,122,49.55,0,2019-01-01,4539385981981241,8461,2003-02-03,cats,
123,Candy,Giron,m1K8z-Candy,>AH8wb,2009-05-30,123,some-model,18.96,0,2001-08-25,123,418-902-0019,05765,VT,Proctor,1 Pond View Road,0,2010-01-08,0,2004-08-10,2001-12-15,123,9,0,2006-10-24,2010-12-02,123,88.21,0,2007-11-17,4556445764012909,4264,2000-08-22,algorithms,
124,James,Brodi,5o2QlK-James,6DDo,2010-04-27,124,plain-frieze,23.64,0,2009-03-02,124,960-290-7125,80005,CO,Arvada,9106 Ellis Way,0,2002-09-13,0,2006-03-08,2002-02-12,124,1,0,2006-05-21,2014-04-21,124,79.55,0,2007-04-25,4348070038265423,5080,2021-08-04,architecture,
125,Homer,Lo,3JgL-Homer,k4HT$,2018-07-04,125,grizzled-coconut,16.86,0,2016-04-20,125,264-214-4027,36104,AL,Montgomery,313 Monroe Street,0,2013-12-06,0,2009-08-14,2021-11-02,125,4,0,2019-09-27,2012-08-04,125,38.31,0,2016-04-07,4916737110681741,3682,2017-08-27,fruit,
126,Jennifer,Diaz,N7zl-Jennifer,Zp6Q3,2021-04-16,126,human-median,23.73,0,2012-10-01,126,463-066-6840,36116,AL,Montgomery,3337 Woodpark Court,0,2021-02-20,0,2010-04-10,2005-11-19,126,2,0,2021-01-16,2020-12-19,126,13.76,0,2017-04-12,4916561731277444,8253,2007-06-15,driving,
127,Michael,Degirolamo,5GHkMD-Michael,8vVKq,2003-05-28,127,avocado-sage,12.52,0,2014-02-27,127,285-255-0851,37206,TN,Nashville,1609 Porter Avenue,0,2011-01-14,0,2011-08-21,2003-08-12,127,4,0,2011-02-08,2004-12-31,127,97.33,0,2020-04-19,4638502712179529,2188,2002-09-28,plants,
128,Regenia,Walker,1jqM-Regenia,QTr4,2000-02-19,128,snowy-surf,28.18,0,2012-11-06,128,017-926-4476,99501,AK,Anchorage,880 H Street,0,2007-09-19,0,2018-06-04,2012-05-24,128,15,0,2007-12-30,2020-01-19,128,46.87,0,2001-05-02,4485061181921097,7636,2011-09-26,water,
129,Shannon,Jester,bx8Z-Shannon,G5L2e,2012-02-01,129,cerulean-frequency,11.0,0,2005-05-09,129,398-453-2615,36108,AL,Montgomery,2572 Drake Street,0,2002-03-02,0,2004-11-15,2001-03-18,129,19,0,2021-12-24,2001-06-23,129,82.26,0,2021-07-21,4532171925736371,2526,2009-09-25,phones,
130,Robert,Digsby,7mQAX0-Robert,Zhi2,2020-03-06,130,plain-alphabet,27.54,0,2010-09-15,130,614-728-2960,80302,CO,Boulder,1918 Spruce Street,0,2005-02-14,0,2012-12-05,2006-11-16,130,2,0,2012-07-22,2017-12-27,130,54.54,0,2011-06-10,4916886777556306,6275,2004-10-14,algorithms,
131,Lillian,Camarillo,D!1lZ-Lillian,HqQw5,2015-09-30,131,flat-quartz,20.68,0,2005-03-21,131,324-689-4112,21114,MD,Crofton,1642 Fendall Court,0,2009-01-10,0,2003-12-06,2008-10-17,131,3,0,2001-07-04,2005-07-29,131,24.22,0,2017-01-14,4544512351893572,4054,2018-01-25,minerals,
132,Kenneth,Hays,Ihp<4z-Kenneth,bZb2,2005-03-07,132,muffled-eel,21.41,0,2016-12-03,132,208-916-2332,06042,CT,Manchester,172 Homestead Street,0,2007-09-10,0,2016-10-13,2000-05-26,132,14,0,2013-09-10,2009-02-04,132,36.24,0,2019-05-13,4794966277267435,7854,2021-11-06,apex_predators,
133,Charlotte,Mcdonald,JQ3Vt-Charlotte,7pyRz,2004-04-21,133,sensitive-pepato,18.56,0,2009-07-13,133,211-328-9230,21146,MD,Severna Park,103 Edgewater Road,0,2005-11-11,0,2013-06-12,2006-10-19,133,17,0,2009-01-20,2011-11-29,133,39.86,0,2008-06-13,4716504143109104,4110,2018-02-15,cheese,
134,Antonio,Murphy,IZ6h-Antonio,5hsJ,2008-11-12,134,matte-texture,26.75,0,2012-02-09,134,048-188-6144,31419,GA,Savannah,23 Cove Drive,0,2020-08-21,0,2011-06-03,2007-10-26,134,9,0,2001-05-04,2012-11-25,134,76.1,0,2012-05-05,4485582043311391,7137,2001-12-06,gaming,
135,Sam,Panella,U9BIl-Sam,5rHk,2021-01-28,135,emerald-wraith,26.64,0,2006-12-17,135,254-971-5146,40210,KY,Louisville,2106 Standard Avenue,0,2003-03-05,0,2004-10-22,2004-01-14,135,4,0,2002-02-19,2012-10-16,135,39.44,0,2013-07-30,4532020459676018,1742,2018-06-05,ghosts,
136,James,Wagner,xcG9n-James,3jJc,2005-04-20,136,sunny-identity,21.5,0,2020-12-25,136,010-663-2175,36106,AL,Montgomery,2032 Gorgas Street,0,2015-01-22,0,2020-02-11,2000-01-07,136,14,0,2015-11-13,2004-06-24,136,17.54,0,2011-09-13,4556296628848024,2068,2017-02-20,linear_algebra,
137,Amy,Rogers,5vKl-Amy,t8NJgG,2001-10-18,137,tense-maple,24.34,0,2007-04-22,137,451-989-6473,02176,MA,Melrose,38 Renwick Road,0,2021-11-30,0,2002-10-21,2012-04-25,137,7,0,2008-03-24,2017-08-20,137,46.03,0,2016-03-28,4024007197180804,0788,2021-04-15,wood,
138,Laura,Shepperd,3Hc=Wm-Laura,39sYv,2021-11-28,138,fresh-twig,20.1,0,2005-04-15,138,145-305-9347,31411,GA,Savannah,1 Tanaquay Court,0,2018-09-17,0,2006-06-24,2011-05-11,138,6,0,2002-01-07,2012-12-17,138,86.34,0,2015-05-03,4532932650679981,4618,2021-11-27,plants,
139,David,Krohn,7Urcxr-David,N+rjA7,2015-04-05,139,chamfered-cello,25.78,0,2008-11-22,139,982-291-0900,21012,MD,Arnold,1489 Falcon Nest Court,0,2005-12-27,0,2005-06-01,2017-12-04,139,3,0,2002-02-25,2006-07-10,139,67.85,0,2016-06-20,4916448988711251,0228,2014-08-28,music_instruments,
140,Erna,Schermerhorn,2zQN-Erna,CTk9,2019-06-26,140,sweet-vivace,20.12,0,2000-07-26,140,560-708-9548,20002,DC,Washington,1641 Kramer Street Northeast,0,2006-03-20,0,2011-07-07,2015-05-17,140,15,0,2000-05-09,2000-05-31,140,63.94,0,2018-10-15,4532940232986154,0607,2001-11-03,music_theory,
141,Karla,Priesmeyer,8KS2Qz-Karla,MQ7w,2011-08-15,141,plain-turkey,27.24,0,2004-12-02,141,739-848-6600,20011,DC,Washington,5208 Colorado Avenue Northwest,0,2010-01-08,0,2007-07-15,2005-12-30,141,17,0,2015-10-01,2012-02-15,141,36.12,0,2014-06-11,4556596064624684,4445,2010-10-08,meat,
142,Lee,Boatner,gY6P-Lee,Ea2O,2005-08-23,142,express-editor,13.72,0,2002-10-16,142,011-461-7464,01007,MA,Belchertown,224 Michael Sears Road,0,2017-03-14,0,2019-12-12,2002-09-10,142,12,0,2008-11-14,2006-10-30,142,85.19,0,2007-01-29,4916173161942727,7025,2001-07-18,writing,
143,Alicia,Schertz,AjJ6x-Alicia,D52tw#,2001-06-10,143,nuclear-packet,19.09,0,2011-01-16,143,734-849-4978,94502,CA,Alameda,1076 Foster Street,0,2003-04-24,0,2013-08-19,2014-09-27,143,16,0,2005-09-22,2015-05-15,143,12.38,0,2005-11-15,4556795421152096,4141,2018-12-10,containers,
144,Stephanie,Reynolds,DW8xCJ-Stephanie,uhTb9,2015-06-16,144,dry-dolcetto,17.27,0,2004-03-05,144,063-551-2314,72701,AR,Fayetteville,412 West Ila Street,0,2007-02-06,0,2001-09-13,2007-12-03,144,8,0,2004-07-18,2021-03-10,144,90.01,0,2019-08-17,4716071105681462,0227,2010-03-02,wine,
145,Raymond,Heinecke,X-2dw-Raymond,qX3gz,2013-11-18,145,khaki-chili,27.84,0,2000-04-28,145,592-998-6419,85308,AZ,Glendale,7232 West Melinda Lane,0,2015-10-09,0,2009-09-30,2007-12-25,145,18,0,2007-04-11,2020-01-08,145,16.18,0,2006-10-05,4532980209643677,8612,2019-12-09,condiments,
146,Laura,Dixon,fuN8u>-Laura,YxnP?5,2008-04-23,146,silver-bed,10.72,0,2008-02-17,146,977-646-2031,02664,MA,Yarmouth,145 Great Western Road,0,2002-08-17,0,2021-06-10,2012-11-08,146,18,0,2000-05-05,2008-01-23,146,74.35,0,2006-06-02,4317710265319289,1158,2004-02-14,3d_printing,
147,Jo,Carter,DN9Q=f-Jo,5CyetC,2006-10-25,147,green-stool,20.72,0,2004-05-04,147,258-354-0961,31322,GA,Pooler,5 Tranquil Place,0,2020-05-05,0,2010-11-24,2001-10-04,147,4,0,2010-08-31,2016-04-25,147,23.92,0,2012-01-18,4110985740087409,0048,2006-01-21,furniture,
148,Troy,Nagy,Y2G^d-Troy,brFV9V,2017-07-19,148,metal-overhang,22.34,0,2007-05-24,148,713-841-8202,80003,CO,Arvada,7645 Marshall Street,0,2020-03-03,0,2001-05-07,2003-01-29,148,13,0,2017-05-11,2006-06-14,148,55.17,0,2004-03-14,4485424465185773,3782,2018-08-21,3d_printing,
149,Steven,Winger,Stm8-Steven,Zo7Ks5,2011-06-09,149,adjacent-scenario,23.7,0,2003-11-05,149,743-472-4023,05478,VT,Saint Albans City,1689 Fisher Pond Road,0,2017-04-02,0,2014-08-07,2017-04-07,149,19,0,2003-12-18,2021-05-15,149,59.43,0,2021-02-17,4716629747820218,5731,2009-01-03,corporate,
150,Mary,Walker,Kf5$G-Mary,*s%q1Y,2007-07-16,150,piercing-tuna,18.17,0,2002-04-07,150,317-240-8714,36111,AL,Montgomery,3436 Lexington Road,0,2008-11-29,0,2012-03-24,2021-12-04,150,15,0,2007-10-03,2000-09-20,150,23.69,0,2003-02-25,4716898829940869,6164,2007-09-22,fish,
151,Joseph,Coulston,HTb5=-Joseph,kEz5,2017-10-18,151,senior-market,19.98,0,2000-03-02,151,663-857-1821,99502,AK,Anchorage,3555 Alamosa Drive,0,2007-10-14,0,2003-03-30,2004-10-09,151,13,0,2005-03-25,2018-11-28,151,63.19,0,2014-02-14,4556780734945972,6522,2020-06-12,startups,
152,Juanita,Monahan,!E1aP-Juanita,S19cdA,2016-07-23,152,cobalt-iteration,27.17,0,2007-10-17,152,288-516-4348,85306,AZ,Glendale,5601 West Crocus Drive,0,2009-09-23,0,2017-11-17,2005-06-02,152,15,0,2005-03-30,2015-01-08,152,97.78,0,2002-08-16,4485377062759541,4851,2021-08-03,algorithms,
153,Jose,Corcoran,4dDE)Q-Jose,7Eqwj3,2013-04-25,153,wintry-goat,26.73,0,2002-05-13,153,296-862-5263,40208,KY,Louisville,2406 Lindbergh Drive,0,2006-07-15,0,2008-12-27,2005-01-19,153,5,0,2016-09-03,2010-06-29,153,66.37,0,2004-01-09,4024007175175206,0688,2012-11-28,meat,
154,Joseph,Boyd,i3WP-Joseph,DKq1,2004-09-16,154,vintage-bookshelf,14.96,0,2018-12-06,154,825-847-6289,02451,MA,Waltham,2309 Stearns Hill Road,0,2012-03-05,0,2004-08-21,2003-01-15,154,7,0,2014-12-29,2008-10-16,154,96.8,0,2004-02-15,4929825287309017,2305,2010-06-01,storage,
155,Phyllis,Siske,Pg4F-Phyllis,6De5,2006-01-29,155,ornery-ghost,29.89,0,2014-08-07,155,249-325-7589,99508,AK,Anchorage,3101 Penland Parkway,0,2018-04-02,0,2010-03-20,2007-09-29,155,15,0,2017-09-23,2003-08-22,155,89.52,0,2001-08-11,4929056879057398,2713,2018-06-14,ghosts,
156,James,Vereb,8o2%N-James,3nvCJ,2008-07-31,156,taxonomic-mozzarella,13.16,0,2014-06-03,156,682-402-7263,72701,AR,Fayetteville,557 West Willoughby Road,0,2010-03-27,0,2011-06-13,2006-11-01,156,9,0,2010-11-05,2006-09-11,156,57.93,0,2005-10-28,4916265147725786,8323,2004-12-22,cheese,
157,Kenneth,Killian,u(08Sg-Kenneth,Jf16.M,2006-08-10,157,fixed-agate,17.07,0,2016-07-14,157,362-674-9831,31419,GA,Savannah,100 Fenwick Village Drive,0,2013-11-21,0,2010-07-17,2007-07-29,157,16,0,2004-04-30,2004-01-13,157,96.2,0,2016-11-20,4929406693354721,5264,2019-11-19,minerals,
158,Rita,Fisher,&H8Cql-Rita,j9LK(A,2020-10-16,158,linear-pulsar,22.75,0,2018-11-21,158,266-957-2161,36110,AL,Montgomery,3100 Don Juan Court,0,2015-10-04,0,2014-03-25,2013-10-06,158,12,0,2007-10-03,2013-07-24,158,75.88,0,2005-03-02,4485688624600126,7424,2020-01-06,astronomy,
159,Inez,Patton,Try3-Inez,3Fioh,2003-11-26,159,obnoxious-herb,19.28,0,2017-05-21,159,066-661-5920,02445,MA,Brookline,33 Pond Avenue,0,2005-02-11,0,2018-11-30,2012-10-31,159,14,0,2006-12-27,2000-10-22,159,79.38,0,2007-11-05,4556347947875824,3024,2004-02-18,plants,
160,Robin,Skidgel,7GDb-Robin,nVM0lu,2021-06-29,160,ancient-cabriolet,13.18,0,2011-01-09,160,069-844-0165,31406,GA,Savannah,113 Dove Lane,0,2013-09-05,0,2018-03-25,2021-02-06,160,9,0,2003-07-20,2017-08-10,160,25.1,0,2020-06-24,4485301318120977,4641,2014-09-27,automobiles,
161,William,Mccalla,5aSH-William,7!unF,2000-06-29,161,plastic-flight,13.0,0,2007-05-27,161,974-579-4942,72701,AR,Fayetteville,2001 Van Hoose Drive,0,2004-01-07,0,2012-05-14,2011-07-09,161,14,0,2012-11-20,2017-04-21,161,26.3,0,2018-05-04,4485643208426034,0401,2005-05-16,gaming,
162,Earl,Todd,iJ3yZV-Earl,)<9ENv,2009-05-20,162,faint-fort,23.33,0,2008-08-14,162,904-353-9306,32407,FL,Panama City Beach,9321 Amy Lane,0,2021-03-04,0,2002-12-09,2017-08-06,162,20,0,2021-05-06,2012-06-28,162,78.86,0,2016-04-20,4024007165170621,0538,2011-02-16,military_army,
163,David,Waite,3Z4SNq-David,9-6gK,2008-04-02,163,neat-band,20.87,0,2019-11-07,163,369-820-6603,80003,CO,Arvada,6413 Kendall Street,0,2008-12-01,0,2003-11-06,2021-06-04,163,5,0,2005-11-21,2018-06-28,163,95.09,0,2016-07-18,4539096910241066,6560,2021-04-27,phones,
164,Cheryl,Galloway,KblY0-Cheryl,qJ5k,2015-09-04,164,shortest-canity,11.79,0,2001-12-15,164,019-412-7338,20020,DC,Washington,1820 22nd Street Southeast,0,2000-10-06,0,2014-02-10,2021-01-31,164,20,0,2015-03-22,2013-12-31,164,41.82,0,2009-04-11,4556669085064956,3148,2019-04-05,construction,
165,Clay,Lord,9rVVAC-Clay,7H_OWb,2017-08-07,165,swift-world,12.4,0,2020-03-03,165,051-834-9780,80631,CO,Greeley,2456 22nd Avenue,0,2014-01-21,0,2008-05-13,2017-06-17,165,16,0,2008-08-10,2010-06-19,165,79.02,0,2017-11-19,4539555262305803,6271,2014-03-29,3d_graphics,
166,Ida,Pickens,osx6$A-Ida,oY35Ey,2001-09-21,166,contemporary-grantor,29.63,0,2018-12-06,166,472-991-5894,21012,MD,Arnold,1102 Spy Glass Drive,0,2015-05-20,0,2007-02-11,2003-08-27,166,9,0,2007-09-26,2020-03-07,166,90.23,0,2014-11-29,4935264074021985,1500,2007-03-05,real_estate,
167,Karen,Guyton,$X6Oj-Karen,+nkm6U,2015-10-15,167,white-whisky,19.81,0,2010-05-03,167,092-691-2102,31405,GA,Savannah,5708 Beverly Street,0,2007-06-09,0,2010-02-20,2010-02-17,167,10,0,2009-08-06,2003-11-30,167,31.08,0,2017-02-28,4556930630719423,6028,2018-10-22,spirits,
168,Michael,Ashcraft,3)izX#-Michael,y6XH,2002-03-19,168,electric-colonnade,21.02,0,2004-07-19,168,520-190-3238,32401,FL,Panama City,521 East 4th Street,0,2020-02-17,0,2015-05-18,2019-03-24,168,15,0,2014-10-13,2000-05-01,168,13.42,0,2015-07-11,4916789820551763,5848,2001-10-01,architecture,
169,Antonio,Major,69Sq+-Antonio,=rsF8H,2002-09-07,169,simple-beagle,15.19,0,2006-06-24,169,350-411-7109,31415,GA,Savannah,1513 Cathy Street,0,2017-01-10,0,2017-03-29,2004-09-24,169,5,0,2000-12-21,2011-09-22,169,30.25,0,2020-06-28,4024007195602312,2742,2007-01-12,dogs,
170,John,Young,xTl1-John,RxZ3,2010-09-04,170,investor-flounder,29.24,0,2013-12-30,170,694-807-6883,21061,MD,Glen Burnie,6460 Lacrosse Lane,0,2011-10-06,0,2020-07-26,2007-03-28,170,6,0,2020-04-03,2006-06-24,170,10.13,0,2013-06-18,4897077378442806,8862,2018-09-14,fish,
171,Matthew,Calvert,q7XS-Matthew,r6M0c.,2010-06-29,171,every-author,23.52,0,2018-07-24,171,332-215-4669,94536,CA,Fremont,3526 Sutton Loop,0,2016-11-30,0,2011-05-30,2003-05-11,171,16,0,2000-10-05,2003-01-19,171,25.11,0,2004-07-04,4929705080426012,4611,2020-05-31,vcs,
172,Ricky,Wildman,+Rg3E-Ricky,4FNrK,2002-08-25,172,old-whisky,26.16,0,2013-08-04,172,515-603-4659,31410,GA,Savannah,904 Walthour Road,0,2021-11-08,0,2011-12-22,2016-01-01,172,0,0,2018-06-30,2012-03-15,172,22.71,0,2014-12-28,4916189931662692,1261,2014-07-24,spirits,
173,Jason,Duffy,f5oU-Jason,9#fnJ2,2014-07-05,173,simple-effusion,22.77,0,2011-06-02,173,260-417-0587,85306,AZ,Glendale,5928 West Mauna Loa Lane,0,2004-07-08,0,2005-12-17,2016-03-31,173,0,0,2018-03-20,2006-08-28,173,11.62,0,2005-06-24,4211395929662550,7448,2005-07-13,chemistry,
174,Jennifer,Zehner,Cx8!-Jennifer,I4g+,2011-01-28,174,hidden-venture,25.44,0,2003-03-22,174,221-379-7237,32413,FL,Panama City Beach,565 North Lakeshore Drive,0,2000-08-09,0,2005-12-24,2007-10-04,174,14,0,2016-09-14,2009-11-01,174,46.27,0,2015-09-05,4024007132701201,4657,2009-08-26,startups,
175,Joan,Candler,&Ys9-Joan,)tlJL6,2012-02-27,175,naive-dragster,24.21,0,2002-01-02,175,459-207-3438,80004,CO,Arvada,5821 Taft Street,0,2016-01-15,0,2012-10-31,2017-05-06,175,4,0,2002-11-05,2014-05-17,175,86.66,0,2000-08-17,4024007148312902,1314,2006-07-15,automobiles,
176,Robert,Jones,a.5K>Z-Robert,Pe9Mv,2003-04-09,176,oblique-lemon,29.07,0,2015-11-16,176,461-089-3187,06040,CT,Manchester,165 Saint John Street,0,2016-12-11,0,2014-10-31,2002-08-02,176,14,0,2015-11-08,2012-12-06,176,60.33,0,2015-03-12,4916809697310448,3772,2008-06-30,seasonings,
177,Jeff,Norman,M6x5Pv-Jeff,Bxl#9j,2018-06-02,177,warped-angora,22.4,0,2000-04-02,177,807-756-1331,73071,OK,Norman,433 Keith Street,0,2014-09-11,0,2011-02-10,2017-12-11,177,8,0,2002-02-27,2001-09-14,177,67.33,0,2002-12-01,4532208914479991,5230,2004-01-02,cats,
178,John,Rojas,Ize6-John,o>11E,2018-09-17,178,messy-grape,17.51,0,2012-08-19,178,594-151-7483,99567,AK,Anchorage,22424 Birchwood Loop Road,0,2008-08-30,0,2010-02-07,2006-03-25,178,1,0,2007-06-18,2008-10-23,178,53.47,0,2001-06-14,4716798938531015,6265,2003-09-27,fruit,
179,Charles,Kennedy,5Qj2-Charles,n.2Wj,2019-03-15,179,warm-damask,12.54,0,2018-04-08,179,780-230-0250,40242,KY,Lyndon,1726 Bridgeview Lane,0,2007-03-06,0,2016-09-23,2016-11-05,179,11,0,2003-05-18,2003-08-22,179,74.63,0,2005-08-04,4539405411800470,3278,2018-09-29,cotton,
